point_yr,fprop_1km,fprop_10km,bca,spp_rich,live_basal,dead_basal,total_basal,oak_prop,can_clos_prop,grass_prop,green_prop,litter_prop,shrub_dens,year,dist_edge,nearest_patch_size,mid_sd,mid_dens_2.5m,mid_dens_5m
CE001_2016,0.427677788,0.314206856,THOUSAND_ACRES,4,12,3,15,0,0.8,0.3,0.95,0,0.614316239,2016,37.515835,17424194.65,0.488928722,0.071059679,0.670580754
CE002_2016,0.428171642,0.315857603,THOUSAND_ACRES,4,18,2,20,0.833333333,1,0.05,0.7,0.85,1.009483022,2016,74.680487,17424194.65,0.128635616,0.697289869,0.676543775
CE003_2016,0.495445566,0.31414233,THOUSAND_ACRES,1,16,3,19,1,0.95,0.1,0.6,0.95,1.469017094,2016,155.606022,17424194.65,0.315495211,0.491539602,0.339751485
CE004_2016,0.510206321,0.315791393,THOUSAND_ACRES,2,22,1,23,0.954545455,0.9,0.1,0.8,1,1.121794872,2016,329.003719,17424194.65,0.300496365,0.753800079,0.522774264
CE006_2016,0.572047849,0.313145822,THOUSAND_ACRES,3,24,1,25,0.333333333,0.95,0.05,0.55,0.95,1.09508547,2016,258.504607,17424194.65,0.098879027,0.479183879,0.612576804
CE007_2016,0.58774144,0.315055234,THOUSAND_ACRES,2,13,0,13,0.307692308,0.95,0.55,0.55,0.8,0.887121444,2016,135.281542,17424194.65,0.321029226,0.305930268,0.65805935
CE008_2016,0.625109745,0.312374314,THOUSAND_ACRES,4,18,4,22,0.611111111,0.8,0.1,0.75,1,3.525641026,2016,182.258402,17424194.65,0.255402759,0.359003386,0.348026463
CE009_2016,0.657100527,0.313233914,THOUSAND_ACRES,3,11,1,12,0.090909091,0.95,0.1,0.85,0.85,3.205128205,2016,82.49884,17424194.65,0.306447475,0.311058394,0.729908191
CE010_2016,0.675098771,0.314016083,THOUSAND_ACRES,2,19,1,20,0,1,0.3,0.9,0.95,2.724358974,2016,55.493692,17424194.65,0.254049325,0.373676607,0.494675897
CE012_2016,0.558933275,0.30381254,THOUSAND_ACRES,3,18,2,20,0.611111111,1,0,0.65,1,1.014957265,2016,199.962617,17424194.65,0.374665281,0.870618712,0.29144048
CE013_2016,0.556518876,0.305875131,THOUSAND_ACRES,4,19,2,21,0.684210526,0.95,0.15,0.75,1,1.175213675,2016,160.68362,17424194.65,0.306836241,0.482123929,0.439456372
