point_id,yr,species,max_count
CE001,2016,ACFL,0
CE001,2017,ACFL,0
CE001,2018,ACFL,0
CE001,2019,ACFL,0
CE002,2016,ACFL,0
CE002,2017,ACFL,0
CE002,2018,ACFL,0
CE002,2019,ACFL,0
CE003,2016,ACFL,0
CE003,2017,ACFL,0
CE003,2018,ACFL,0
CE003,2019,ACFL,2
CE004,2016,ACFL,0
CE004,2017,ACFL,1
CE004,2018,ACFL,1
CE004,2019,ACFL,2
CE006,2016,ACFL,0
CE006,2017,ACFL,1
CE006,2018,ACFL,0
CE006,2019,ACFL,1
CE007,2016,ACFL,0
CE007,2017,ACFL,1
CE007,2018,ACFL,1
CE007,2019,ACFL,2
CE008,2016,ACFL,0
CE008,2017,ACFL,0
CE008,2018,ACFL,1
CE008,2019,ACFL,1
CE009,2016,ACFL,0
CE009,2017,ACFL,1
CE009,2018,ACFL,1
CE009,2019,ACFL,0
CE010,2016,ACFL,1
CE010,2017,ACFL,0
CE010,2018,ACFL,0
CE010,2019,ACFL,0
CE012,2016,ACFL,1
CE012,2017,ACFL,1
CE012,2018,ACFL,1
CE012,2019,ACFL,1
CE013,2016,ACFL,0
CE013,2017,ACFL,0
CE013,2018,ACFL,0
CE013,2019,ACFL,1
CE014,2016,ACFL,0
CE014,2017,ACFL,0
CE014,2018,ACFL,0
CE014,2019,ACFL,0
CE015,2016,ACFL,0
CE015,2017,ACFL,0
CE015,2018,ACFL,0
CE015,2019,ACFL,0
CE016,2016,ACFL,0
CE016,2017,ACFL,0
CE016,2018,ACFL,0
CE016,2019,ACFL,0
CE017,2016,ACFL,0
CE017,2017,ACFL,0
CE017,2018,ACFL,0
CE017,2019,ACFL,0
CE020,2016,ACFL,0
CE020,2017,ACFL,0
CE020,2018,ACFL,0
CE020,2019,ACFL,0
CE021,2016,ACFL,1
CE021,2017,ACFL,2
CE021,2018,ACFL,1
CE021,2019,ACFL,1
CE022,2016,ACFL,1
CE022,2017,ACFL,1
CE022,2018,ACFL,1
CE022,2019,ACFL,1
CE026,2016,ACFL,1
CE026,2017,ACFL,1
CE026,2018,ACFL,1
CE026,2019,ACFL,1
CE027,2016,ACFL,0
CE027,2017,ACFL,0
CE027,2018,ACFL,0
CE027,2019,ACFL,0
CE028,2016,ACFL,0
CE028,2017,ACFL,0
CE028,2018,ACFL,0
CE028,2019,ACFL,0
CE029,2016,ACFL,0
CE029,2017,ACFL,0
CE029,2018,ACFL,0
CE029,2019,ACFL,0
CE030,2016,ACFL,0
CE030,2017,ACFL,0
CE030,2018,ACFL,1
CE030,2019,ACFL,2
CE031,2016,ACFL,1
CE031,2017,ACFL,1
CE031,2018,ACFL,1
CE031,2019,ACFL,1
CE032,2016,ACFL,1
CE032,2017,ACFL,1
CE032,2018,ACFL,1
CE032,2019,ACFL,2
CE033,2016,ACFL,0
CE033,2017,ACFL,0
CE033,2018,ACFL,0
CE033,2019,ACFL,0
CE034,2016,ACFL,0
CE034,2017,ACFL,0
CE034,2018,ACFL,0
CE034,2019,ACFL,0
CE035,2016,ACFL,0
CE035,2017,ACFL,0
CE035,2018,ACFL,0
CE035,2019,ACFL,0
CE036,2016,ACFL,0
CE036,2017,ACFL,0
CE036,2018,ACFL,0
CE036,2019,ACFL,0
CE037,2016,ACFL,0
CE037,2017,ACFL,0
CE037,2018,ACFL,0
CE037,2019,ACFL,0
CE038,2016,ACFL,2
CE038,2017,ACFL,2
CE038,2018,ACFL,1
CE038,2019,ACFL,1
CE041,2016,ACFL,0
CE041,2017,ACFL,0
CE041,2018,ACFL,0
CE041,2019,ACFL,0
CE044,2016,ACFL,0
CE044,2017,ACFL,0
CE044,2018,ACFL,0
CE044,2019,ACFL,0
CE045,2016,ACFL,0
CE045,2017,ACFL,0
CE045,2018,ACFL,0
CE045,2019,ACFL,0
CE047,2016,ACFL,1
CE047,2017,ACFL,0
CE047,2018,ACFL,0
CE047,2019,ACFL,0
CE048,2016,ACFL,1
CE048,2017,ACFL,1
CE048,2018,ACFL,0
CE048,2019,ACFL,2
CE049,2016,ACFL,1
CE049,2017,ACFL,1
CE049,2018,ACFL,1
CE049,2019,ACFL,2
CE051,2016,ACFL,0
CE051,2017,ACFL,0
CE051,2018,ACFL,0
CE051,2019,ACFL,0
CE052,2016,ACFL,0
CE052,2017,ACFL,0
CE052,2018,ACFL,0
CE052,2019,ACFL,0
CE053,2016,ACFL,0
CE053,2017,ACFL,0
CE053,2018,ACFL,0
CE053,2019,ACFL,0
CE055,2016,ACFL,0
CE055,2017,ACFL,1
CE055,2018,ACFL,1
CE055,2019,ACFL,1
CE056,2016,ACFL,0
CE056,2017,ACFL,2
CE056,2018,ACFL,1
CE056,2019,ACFL,2
CE057,2016,ACFL,1
CE057,2017,ACFL,2
CE057,2018,ACFL,1
CE057,2019,ACFL,2
CE060,2016,ACFL,0
CE060,2017,ACFL,0
CE060,2018,ACFL,0
CE060,2019,ACFL,0
CE061,2016,ACFL,0
CE061,2017,ACFL,0
CE061,2018,ACFL,0
CE061,2019,ACFL,0
CE063,2016,ACFL,0
CE063,2017,ACFL,0
CE063,2018,ACFL,0
CE063,2019,ACFL,1
CE064,2016,ACFL,0
CE064,2017,ACFL,0
CE064,2018,ACFL,1
CE064,2019,ACFL,2
CE065,2016,ACFL,1
CE065,2017,ACFL,0
CE065,2018,ACFL,2
CE065,2019,ACFL,1
CE072,2016,ACFL,0
CE072,2017,ACFL,0
CE072,2018,ACFL,0
CE072,2019,ACFL,0
CE073,2016,ACFL,0
CE073,2017,ACFL,0
CE073,2018,ACFL,0
CE073,2019,ACFL,1
CE074,2016,ACFL,0
CE074,2017,ACFL,0
CE074,2018,ACFL,1
CE074,2019,ACFL,0
CE075,2016,ACFL,0
CE075,2017,ACFL,1
CE075,2018,ACFL,1
CE075,2019,ACFL,1
CE076,2016,ACFL,2
CE076,2017,ACFL,1
CE076,2018,ACFL,3
CE076,2019,ACFL,1
CH001,2016,ACFL,0
CH001,2017,ACFL,0
CH001,2018,ACFL,0
CH001,2019,ACFL,0
CH002,2016,ACFL,1
CH002,2017,ACFL,0
CH002,2018,ACFL,0
CH002,2019,ACFL,1
CH003,2016,ACFL,1
CH003,2017,ACFL,0
CH003,2018,ACFL,0
CH003,2019,ACFL,1
CH004,2016,ACFL,1
CH004,2017,ACFL,0
CH004,2018,ACFL,0
CH004,2019,ACFL,0
CH005,2016,ACFL,0
CH005,2017,ACFL,0
CH005,2018,ACFL,0
CH005,2019,ACFL,1
CH006,2016,ACFL,0
CH006,2017,ACFL,0
CH006,2018,ACFL,0
CH006,2019,ACFL,0
CH007,2016,ACFL,0
CH007,2017,ACFL,0
CH007,2018,ACFL,0
CH007,2019,ACFL,0
CH008,2016,ACFL,0
CH008,2017,ACFL,0
CH008,2018,ACFL,0
CH008,2019,ACFL,1
CH009,2016,ACFL,1
CH009,2017,ACFL,0
CH009,2018,ACFL,0
CH009,2019,ACFL,1
CH010,2016,ACFL,0
CH010,2017,ACFL,0
CH010,2018,ACFL,0
CH010,2019,ACFL,0
CH011,2016,ACFL,0
CH011,2017,ACFL,0
CH011,2018,ACFL,1
CH011,2019,ACFL,1
CH012,2016,ACFL,0
CH012,2017,ACFL,0
CH012,2018,ACFL,0
CH012,2019,ACFL,0
CH013,2016,ACFL,0
CH013,2017,ACFL,0
CH013,2018,ACFL,0
CH013,2019,ACFL,0
CH014,2016,ACFL,0
CH014,2017,ACFL,0
CH014,2018,ACFL,0
CH014,2019,ACFL,0
CH015,2016,ACFL,0
CH015,2017,ACFL,0
CH015,2018,ACFL,0
CH015,2019,ACFL,0
CH016,2016,ACFL,0
CH016,2017,ACFL,0
CH016,2018,ACFL,0
CH016,2019,ACFL,1
CH017,2016,ACFL,0
CH017,2017,ACFL,0
CH017,2018,ACFL,0
CH017,2019,ACFL,1
CH018,2016,ACFL,1
CH018,2017,ACFL,1
CH018,2018,ACFL,0
CH018,2019,ACFL,0
CH019,2016,ACFL,0
CH019,2017,ACFL,0
CH019,2018,ACFL,0
CH019,2019,ACFL,0
CH020,2016,ACFL,0
CH020,2017,ACFL,0
CH020,2018,ACFL,0
CH020,2019,ACFL,0
CH021,2016,ACFL,0
CH021,2017,ACFL,0
CH021,2018,ACFL,0
CH021,2019,ACFL,0
CH022,2016,ACFL,0
CH022,2017,ACFL,1
CH022,2018,ACFL,1
CH022,2019,ACFL,1
LU001,2016,ACFL,0
LU001,2017,ACFL,1
LU001,2018,ACFL,1
LU001,2019,ACFL,1
LU002,2016,ACFL,0
LU002,2017,ACFL,0
LU002,2018,ACFL,1
LU002,2019,ACFL,0
LU003,2016,ACFL,0
LU003,2017,ACFL,0
LU003,2018,ACFL,0
LU003,2019,ACFL,0
LU004,2016,ACFL,0
LU004,2017,ACFL,0
LU004,2018,ACFL,0
LU004,2019,ACFL,0
LU005,2016,ACFL,0
LU005,2017,ACFL,1
LU005,2018,ACFL,0
LU005,2019,ACFL,0
LU006,2016,ACFL,0
LU006,2017,ACFL,0
LU006,2018,ACFL,0
LU006,2019,ACFL,0
LU007,2016,ACFL,0
LU007,2017,ACFL,0
LU007,2018,ACFL,0
LU007,2019,ACFL,0
LU008,2016,ACFL,0
LU008,2017,ACFL,0
LU008,2018,ACFL,0
LU008,2019,ACFL,0
LU009,2016,ACFL,0
LU009,2017,ACFL,0
LU009,2018,ACFL,0
LU009,2019,ACFL,0
LU010,2016,ACFL,0
LU010,2017,ACFL,0
LU010,2018,ACFL,0
LU010,2019,ACFL,1
LU011,2016,ACFL,0
LU011,2017,ACFL,0
LU011,2018,ACFL,0
LU011,2019,ACFL,1
LU012,2016,ACFL,0
LU012,2017,ACFL,0
LU012,2018,ACFL,0
LU012,2019,ACFL,0
LU014,2016,ACFL,0
LU014,2017,ACFL,0
LU014,2018,ACFL,0
LU014,2019,ACFL,0
LU015,2016,ACFL,0
LU015,2017,ACFL,0
LU015,2018,ACFL,0
LU015,2019,ACFL,0
LU016,2016,ACFL,0
LU016,2017,ACFL,0
LU016,2018,ACFL,0
LU016,2019,ACFL,0
LU017,2016,ACFL,0
LU017,2017,ACFL,0
LU017,2018,ACFL,0
LU017,2019,ACFL,0
LU018,2016,ACFL,0
LU018,2017,ACFL,0
LU018,2018,ACFL,0
LU018,2019,ACFL,0
LU019,2016,ACFL,0
LU019,2017,ACFL,0
LU019,2018,ACFL,1
LU019,2019,ACFL,0
LU020,2016,ACFL,0
LU020,2017,ACFL,0
LU020,2018,ACFL,0
LU020,2019,ACFL,0
LU021,2016,ACFL,0
LU021,2017,ACFL,0
LU021,2018,ACFL,1
LU021,2019,ACFL,0
LU022,2016,ACFL,0
LU022,2017,ACFL,0
LU022,2018,ACFL,0
LU022,2019,ACFL,0
LU023,2016,ACFL,0
LU023,2017,ACFL,0
LU023,2018,ACFL,0
LU023,2019,ACFL,0
LU024,2016,ACFL,1
LU024,2017,ACFL,0
LU024,2018,ACFL,0
LU024,2019,ACFL,0
LU025,2016,ACFL,0
LU025,2017,ACFL,0
LU025,2018,ACFL,0
LU025,2019,ACFL,0
LU026,2016,ACFL,0
LU026,2017,ACFL,0
LU026,2018,ACFL,0
LU026,2019,ACFL,0
LU027,2016,ACFL,0
LU027,2017,ACFL,0
LU027,2018,ACFL,0
LU027,2019,ACFL,0
